iter	Passed	Remaining
0	1	112
1	2	98
2	2	91
3	3	81
4	4	78
5	5	79
6	6	85
7	7	82
8	7	80
9	8	77
10	9	74
11	9	73
12	10	72
13	11	70
14	12	68
15	13	69
16	13	68
17	14	66
18	15	65
19	15	63
20	16	62
21	17	61
22	17	60
23	18	59
24	20	60
25	21	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	32	43
43	34	43
44	35	42
45	35	42
46	36	41
47	37	40
48	37	39
49	38	38
50	39	37
51	39	36
52	40	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	45	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	27
64	50	26
65	50	26
66	51	25
67	52	24
68	52	23
69	53	22
70	54	22
71	55	21
72	56	20
73	57	20
74	58	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	14
82	64	13
83	65	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	70	7
90	70	6
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	76	0
99	77	0
