iter	Passed	Remaining
0	149	149414
1	152	76293
2	158	52703
3	161	40206
4	163	32552
5	165	27408
6	166	23684
7	170	21088
8	172	19019
9	173	17201
10	174	15708
11	175	14449
12	176	13392
13	177	12496
14	178	11701
15	178	11003
16	179	10386
17	180	9837
18	181	9346
19	182	8921
20	185	8637
21	187	8321
22	188	7990
23	188	7680
24	189	7397
25	190	7145
26	191	6900
27	192	6671
28	192	6457
29	193	6257
30	194	6071
31	194	5896
32	195	5733
33	197	5619
34	199	5504
35	200	5368
36	201	5237
37	201	5112
38	202	4993
39	203	4886
40	204	4784
41	205	4684
42	206	4586
43	206	4492
44	207	4404
45	208	4319
46	208	4237
47	209	4160
48	211	4114
49	213	4050
50	214	3983
51	214	3916
52	215	3851
53	216	3792
54	217	3735
55	218	3677
56	218	3620
57	219	3565
58	220	3512
59	220	3461
60	221	3411
61	222	3362
62	223	3317
63	225	3298
64	227	3265
65	227	3225
66	228	3183
67	229	3144
68	230	3106
69	231	3071
70	231	3035
71	232	2998
72	233	2962
73	234	2928
74	234	2894
75	235	2862
76	236	2830
77	236	2798
78	237	2771
79	241	2771
80	242	2750
81	243	2723
82	243	2693
83	244	2670
84	245	2645
85	246	2619
86	247	2593
87	247	2568
88	248	2544
89	249	2520
90	249	2496
91	250	2474
92	251	2452
93	252	2430
94	254	2420
95	258	2430
96	258	2410
97	259	2390
98	260	2371
99	261	2352
100	262	2333
101	263	2315
102	264	2299
103	264	2280
104	265	2263
105	266	2245
106	266	2228
107	268	2220
108	270	2208
109	270	2191
110	271	2175
111	272	2158
112	273	2143
113	273	2127
114	274	2111
115	275	2096
116	275	2080
117	276	2065
118	277	2051
119	277	2036
120	278	2022
121	278	2007
122	279	1993
123	280	1980
124	280	1966
125	281	1953
126	282	1944
127	284	1935
128	284	1923
129	285	1911
130	286	1899
131	286	1887
132	287	1875
133	288	1864
134	289	1852
135	289	1841
136	290	1830
137	291	1819
138	291	1808
139	292	1797
140	293	1786
141	293	1774
142	294	1764
143	295	1754
144	297	1754
145	298	1746
146	299	1736
147	300	1727
148	300	1717
149	301	1707
150	302	1698
151	302	1689
152	303	1680
153	304	1671
154	304	1662
155	305	1653
156	306	1644
157	307	1636
158	307	1627
159	308	1619
160	308	1609
161	309	1602
162	311	1600
163	313	1596
164	314	1589
165	314	1581
166	315	1573
167	316	1565
168	316	1557
169	317	1550
170	318	1543
171	319	1535
172	319	1528
173	320	1520
174	321	1513
175	321	1506
176	322	1499
177	323	1492
178	323	1485
179	324	1478
180	326	1479
181	327	1472
182	328	1466
183	329	1459
184	329	1452
185	330	1446
186	331	1439
187	331	1433
188	332	1426
189	333	1420
190	333	1413
191	334	1407
192	335	1401
193	335	1395
194	336	1389
195	337	1383
196	337	1377
197	338	1371
198	340	1372
199	342	1368
200	342	1362
201	343	1357
202	344	1351
203	344	1346
204	345	1340
205	346	1335
206	347	1329
207	347	1324
208	348	1319
209	349	1313
